Price,Bedrooms,Bathrooms,Size
R1295000,2,1.5,83m²
R1190000,2,1,66m²
R3950000,3,1,1088m²
N/A,N/A,N/A,N/A
R980000,2,1,59m²
R2750000,N/A,1,35m²
R1575000,1,1,36m²
R4650000,2,1,229m²
R1590000,2,1,59m²
R2650000,3,2,N/A
R2750000,2,2,73m²
R1399000,N/A,1,49m²
R4950000,2,2,84m²
R18995000,2,2.5,151m²
R1700000,2,2,75m²
R9700000,3,3.5,487m²
R3550000,3,2,230m²
R3250000,2,1,87m²
R2299999,2,2,73m²
R4950000,2,2,84m²
R3500000,N/A,N/A,215m²
R5900000,N/A,N/A,161m²
R2650000,2,1,100m²
R3400000,1,1,58m²
R1995000,3,1,495m²
N/A,N/A,N/A,N/A
R1300000,3,2,143m²
R1799000,2,1.5,80m²
R2195000,3,2,102m²
R19800000,6,6.5,595m²
R13895000,3,2,185m²
R1100000,1,1,55m²
R1650000,2,1,99m²
R1250000,1,1,57m²
R2300000,1,1,72m²
R2495000,3,1,424m²
R6950000,2,2,190m²
R5700000,2,3,79m²
R1650000,2,1,99m²
R2495000,1,1,82m²
R11995000,2,3,166m²
R6000000,4,3,763m²
R2050000,3,1.5,87m²
R845000,4,2,N/A
R2150000,2,1,82m²
R2200000,4,3,500m²
R39500000,8,6,556m²
N/A,N/A,N/A,N/A
R1400000,3,2,88m²
R1295000,2,2,93m²
R2895000,3,2,242m²
R2850000,1,1,54m²
R1595000,3,2,260m²
R7500000,2,2,126m²
R3500000,2,1,86m²
R1750000,2,1,79m²
R1300000,1,1,48m²
R1999999,2,2,62m²
R4995000,N/A,N/A,8.5ha
R26950000,4,4.5,1120m²
R72000000,N/A,N/A,5444m²
R5195000,3,3,640m²
R4000000,N/A,N/A,320m²
R2850000,1,1,54m²
R4500000,2,1.5,87m²
R4350000,5,3,495m²
R1750000,2,1,12753m²
R1570000,2,2,100m²
R2450000,N/A,N/A,509m²
N/A,N/A,N/A,N/A
R1350000,2,1,79m²
R2650000,0.5,1,35m²
R3395000,2,2,110m²
R50000000,N/A,N/A,2354m²
R4995000,2,1,107m²
R980000,3,1,155m²
R1695000,3,1,67m²
R2295000,1,1,N/A
R2499000,3,2,522m²
R2295000,0.5,1,49m²
R6950000,2,3,127m²
R8700000,4,2.5,409m²
R199998000,N/A,N/A,4873m²
R1500000,2,2,91m²
R1075000,2,1,73m²
R2795000,4,2,427m²
R1500000,0.5,1,26m²
R5995000,2,2.5,109m²
R20000000,N/A,N/A,1349m²
R1375000,3,1,64m²
R199998000,N/A,N/A,4873m²
N/A,N/A,N/A,N/A
R6495000,4,4,858m²
R1450000,2,1,71m²
R7500000,N/A,N/A,1509m²
R9900000,2,2,N/A
R14263000,N/A,N/A,820m²
R6495000,2,2,267m²
R1920000,1,1,60m²
R1795000,3,2,109m²
R3750000,N/A,N/A,491m²
R7000000,N/A,N/A,337m²
R6150000,3,2,131m²
R2650000,3,2,495m²
R680000,2,1,66m²
R8200000,N/A,N/A,349m²
R4395000,4,3,877m²
R8500000,2,2,N/A
R4195000,3,2,495m²
R1920000,1,1,60m²
R2790000,1,1,48m²
R2050000,2,1,61m²
R995000,1,1,63m²
N/A,N/A,N/A,N/A
R7500000,2,2,124m²
R13500000,4,3,963m²
R950000,1,1,49m²
R2300000,2,1,176m²
R3495000,2,2,84m²
R39000000,4,4,4418m²
R8950000,2,2,206m²
R9995000,3,2.5,147m²
R2250000,3,1.5,193m²
R2999000,1,1,56m²
R6250000,1,1.5,183m²
R8500000,N/A,N/A,1960m²
R4225000,1,1,N/A
R1450000,1,1,42m²
POA,N/A,N/A,20000m²
R2999000,1,1,56m²
R1300000,N/A,1,31m²
R2900000,N/A,N/A,195m²
R11100000,4,3,266m²
R8500000,N/A,N/A,1365m²
R1350000,2,1,85m²
N/A,N/A,N/A,N/A
R4950000,2,2.5,84m²
R650000,2,1,239m²
R1329000,1,1,57m²
R1995000,1,1,63m²
R825000,1,1,39m²
R1075000,2,1,79m²
R2100000,0.5,1,41m²
R895000,2,1,51m²
R2290000,0.5,1,30m²
R8500000,6,4,1311m²
R1950000,2,1,82m²
R8500000,6,4,1311m²
R8300000,3,3.5,700m²
R2000000,2,1,110m²
R1099000,1,1.5,375m²
R3295000,2,2,117m²
R9550000,4,3.5,915m²
R2895000,2,1,70m²
R1750000,4,4,313m²
R2950000,3,2,613m²
R3249000,1,1,64m²
N/A,N/A,N/A,N/A
R4700000,3,2,237m²
R750000,3,1,209m²
R2195000,3,2,611m²
R3700000,3,2,104m²
R7499000,3,3,156m²
R1950000,2,1,82m²
R640000,2,1,109m²
R2225000,2,1,84m²
R1250000,2,1,85m²
R6650000,2,2.5,170m²
R8900000,N/A,N/A,13830m²
R2325000,2,1.5,496m²
R16700000,N/A,N/A,500m²
R5200000,3,3,277m²
R25500000,5,5.5,2945m²
R2225000,3,1.5,108m²
R9550000,N/A,N/A,376m²
R3250000,3,2,598m²
R8750000,4,3.5,234m²
R620000,3,1,144m²
R2225000,3,1.5,108m²
N/A,N/A,N/A,N/A
R6500000,3,2,3742m²
R895000,3,1,67m²
R2850000,1,1,44m²
R2100000,1,1,64m²
R2350000,1,1,33m²
R2799000,2,1,69m²
R895000,3,1,67m²
R3650000,1,1,59m²
R695000,2,N/A,N/A
R650000,2,1,239m²
R1800000,3,1,535m²
R2995000,2,1.5,86m²
R5250000,4,3,944m²
R6250000,4,3,660m²
R410000,N/A,N/A,30m²
R4900000,2,2,88m²
R2100000,3,3,425m²
R1690000,5,3,404.89m²
R2495000,4,2,495m²
R17995000,3,3,204m²
R2595000,0.5,1,51m²
N/A,N/A,N/A,N/A
R1250000,1,1,38m²
R11809370,N/A,N/A,1110m²
R2950000,2,2,160m²
R2950000,2,2,160m²
R2250000,1,1,60m²
R1290000,2,1,64m²
R975000,0.5,1,43m²
R1995900,2,1,N/A
R6900000,3,2,592m²
R29950000,4,4,2225m²
R1375000,1,1,41m²
R9500000,3,3.5,309m²
R2695000,2,2,N/A
R699000,2,1,49m²
R1200000,1,1,39m²
R1550000,2,1,59m²
R1350000,2,1,54m²
R6600000,2,2,128m²
R1950000,3,2,268m²
R1350000,2,1,53m²
R1195000,1,1,29m²
N/A,N/A,N/A,N/A
R1795000,3,3,425m²
R3250000,2,2,97m²
R9360000,2,2,N/A
